Student Number;ABV 320 (S2);AIM 101 (S1);ALL 124 (S2);BAN 313 (S1);BER 210 (S1);BER 220 (S2);BER 310 (S1);BES 220 (R) (S2);BES 220 (S2);BFB 320 (S2);BGC 410 (S1);BID 320 (S2);BIE 420 (S2);BJJ 210 (S1);BLK 320 (S2);BOB 310 (S1);BON 410 (S1);BOZ 312 (S1);BPJ 410 (S1);BPJ 420 (S2);BPZ 220 (S2);BPZ 421 (S2);BSR 410 (S1);BSS 310 (R) (S1);BSS 310 (S1);BSS 410 (S2);BUY 321 (S2);CBI 310 (S1);CBI 410 (S1);CHM 171 (R) (S1);CHM 171 (R) (S2);CHM 171 (S1);CHM 172 (R) (S2);CHM 172 (S2);CHM 181 (R) (S2);CHM 181 (S2);CHM 215 (R) (S1);CHM 215 (S1);CHM 226 (S2);CIL 111 (S1);CIL 121 (S2);CIM 210 (S1);CIO 310 (S2);CIO 320 (S2);CIR 113 (R) (S1);CIR 113 (S1);CIR 123 (S2);CIR 211 (S1);CIR 310 (S1);CJJ 210 (S1);CKN 321 (S2);CLB 321 (S2);CMO 310 (S1);CMO 320 (S1);CMY 117 (S1);CMY 127 (S2);COP 311 (S1);COS 110 (S2);COS 131 (S1);CPA 310 (S1);CPB 410 (S1);CPJ 421 (S2);CPN 321 (S2);CPR 420 (S2);CPS 410 (S1);CPS 420 (S2);CRO 410 (S1);CSC 411 (S1);CSC 421 (S2);CSS 420 (S2);CTD 223 (S2);EAD 410 (S1);EBB 320 (R) (S2);EBB 320 (S2);EBN 111 (R) (S1);EBN 111 (S1);EBN 122 (R) (S2);EBN 122 (S2);EBT 410 (S1);EDF 320 (S2);EES 424 (S2);EIR 211 (S1);EIR 221 (R) (S2);EIR 221 (S2);EJJ 210 (S1);EKK 320 (S2);EKK 410 (S1);EKN 110 (S1);EKN 120 (S2);ELI 220 (R) (S2);ELI 220 (S2);ELO 320 (S2);ELX 311 (S1);EMK 310 (S1);EMR 100 (Y);EMS 310 (S1);EMZ 310 (R) (S1);EMZ 310 (S1);EMZ 320 (S2);ENE 310 (R) (S1);ENE 310 (S1);ENE 410 (S1);ENR 420 (S2);EPR 400 (Y);ERA 284 (S2);ERS 220 (S2);ESC 320 (S2);ESP 411 (S1);EWE 320 (S2);FBS 110 (S1);FRK 111 (S1);FRK 121 (S2);FSK 116 (R) (S1);FSK 116 (S1);FSK 176 (R) (S2);FSK 176 (S2);GKD 250 (S1);GLY 155 (S1);GLY 161 (Q3);GLY 162 (Q4);GLY 254 (Q2);GLY 361 (Q2);GMI 210 (S1);HAS 110 (S1);HAS 120 (S2);INF 112 (S1);IPI 410 (S1);JCP 203 (Y);JNV 100 (Y);JPO 110 (S1);JPO 111 (S1);JPO 112 (S1);JPO 113 (S1);JPO 116 (S1);JPO 120 (S2);JPO 121 (S2);JPO 122 (S2);JPO 123 (R) (S2);JPO 123 (S2);JPO 125 (S2);JPO 126 (S2);JPO 152 (S1);JPO 161 (S2);MBB 410 (R) (S2);MBB 410 (S2);MGC 110 (R) (S1);MGC 110 (S1);MHM 420 (S2);MIA 320 (S2);MII 420 (S2);MJJ 210 (S1);MKM 321 (S2);MKM 411 (S1);MLB 111 (S1);MOW 217 (R) (S1);MOW 217 (S1);MOW 227 (S2);MOW 312 (S1);MOW 323 (S2);MOX 410 (S1);MPR 213 (R) (S1);MPR 213 (S1);MRN 412 (S1);MRN 422 (S2);MSC 412 (S1);MSC 422 (S2);MSD 210 (R) (S1);MSD 210 (S1);MSY 310 (S1);MTV 310 (R) (S1);MTV 310 (S1);MTV 410 (S1);MTV 420 (R) (S2);MTV 420 (S2);MTX 221 (R) (S2);MTX 221 (S2);MTX 311 (S1);MVE 420 (S2);MVR 320 (R) (S2);MVR 320 (S2);MVS 311 (S1);NEC 310 (S1);NEX 320 (S2);NHM 322 (S2);NHM 412 (S1);NJJ 210 (S1);NMC 113 (R) (S1);NMC 113 (S1);NMC 123 (R) (S2);NMC 123 (S2);NMC 223 (S2);NMC 313 (S1);NMM 320 (R) (S2);NMM 320 (S2);NMP 310 (S1);NMP 411 (S1);NOP 421 (S2);NPB 412 (S1);NPM 321 (S2);NPT 220 (S2);NPW 411 (S1);NSC 412 (S1);NSC 422 (S2);NVM 321 (S2);OBS 114 (S1);OBS 124 (S2);PEE 410 (S1);PJJ 210 (S1);PME 320 (S2);PMY 311 (S1);PMY 320 (S2);PMY 410 (S1);PMY 423 (S1);PMZ 422 (S2);PNB 300 (Y);PNB 400 (Y);PRX 321 (S2);PSC 321 (S2);PSC 411 (S2);PSZ 410 (S1);SBM 321 (R) (S2);SBM 321 (S2);SBZ 221 (S2);SBZ 420 (S2);SCA 420 (S2);SDO 420 (S2);SEV 421 (S2);SGM 210 (S1);SGM 221 (S2);SGM 311 (R) (S1);SGM 311 (S1);SGM 323 (R) (S2);SGM 323 (S2);SHC 310 (S1);SHC 321 (R) (S2);SHC 321 (S2);SHC 410 (S1);SIB 310 (S1);SIE 310 (S1);SIN 223 (S2);SIN 311 (S1);SIN 323 (R) (S2);SIN 323 (S2);SIN 324 (R) (S2);SIN 324 (S2);SIN 411 (S1);SIN 413 (S1);SJJ 210 (S1);SNV 111 (S1);SNV 121 (S2);SSC 412 (S1);STK 110 (S1);STK 120 (S2);SUR 210 (S1);SUR 220 (S2);SVC 323 (R) (S2);SVC 323 (S2);SVC 412 (S1);SWK 122 (R) (S1);SWK 122 (R) (S2);SWK 122 (S1);SWK 122 (S2);SWK 210 (R) (S1);SWK 210 (S1);WST 111 (S1);WTW 115 (S1);WTW 128 (S2);WTW 158 (R) (S1);WTW 158 (S1);WTW 161 (R) (S2);WTW 161 (S2);WTW 168 (R) (S2);WTW 168 (S2);WTW 238 (R) (S2);WTW 238 (S2);WTW 256 (R) (S1);WTW 256 (S1);WTW 258 (R) (S1);WTW 258 (S1);WTW 263 (R) (S2);WTW 263 (S2);Target
11084589;NA;NA;NA;NA;NA;NA;NA;NA;50-59;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;60-74;NA;NA;NA;NA;50-59;NA;30-49;NA;NA;NA;NA;NA;NA;NA;NA;60-74;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;60-74;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;60-74;NA;NA;NA;50-59;60-74;NA;60-74;50-59;NA;NA;60-74;NA;NA;NA;NA;NA;50-59;75+;NA;50-59;75+;50-59;NA;50-59;30-49;NA;50-59;60-74;NA;50-59;NA;50-59;50-59;60-74;NA;NA;NA;NA;NA;NA;NA;50-59;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;60-74;75+;60-74;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50-59;NA;60-74;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;60-74;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50-59;30-49;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50-59;NA;NA;NA;NA;NA;NA;50-59;NA;60-74;50-59;30-49;60-74;30-49;60-74;30-49;60-74;30-49;NA;50-59;Graduated_2
11084775;NA;NA;NA;NA;NA;NA;NA;NA;50-59;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;60-74;NA;NA;NA;NA;NA;NA;NA;NA;50-59;NA;NA;NA;NA;NA;NA;60-74;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;60-74;NA;NA;NA;NA;NA;NA;NA;50-59;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;75+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50-59;75+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50-59;NA;75+;NA;60-74;NA;60-74;50-59;50-59;NA;NA;60-74;60-74;50-59;50-59;50-59;NA;75+;NA;NA;60-74;60-74;NA;60-74;60-74;NA;75+;60-74;NA;60-74;NA;60-74;60-74;NA;NA;60-74;NA;NA;NA;NA;NA;NA;NA;NA;50-59;30-49;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50-59;60-74;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;75+;NA;NA;NA;NA;NA;NA;75+;NA;75+;NA;50-59;NA;60-74;NA;60-74;NA;60-74;NA;50-59;Graduated_1
11084988;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0-29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;60-74;NA;NA;NA;50-59;NA;NA;NA;NA;NA;NA;0-29;60-74;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50-59;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;Discontinued
11085160;NA;NA;NA;NA;NA;NA;NA;NA;75+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;60-74;NA;NA;NA;NA;NA;NA;NA;NA;60-74;NA;NA;NA;NA;NA;75+;75+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;60-74;NA;NA;NA;NA;NA;NA;NA;50-59;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;60-74;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50-59;75+;60-74;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;60-74;NA;75+;NA;60-74;NA;60-74;75+;75+;NA;NA;60-74;75+;50-59;50-59;75+;NA;75+;NA;NA;60-74;75+;NA;60-74;60-74;NA;60-74;75+;NA;60-74;NA;60-74;60-74;NA;NA;50-59;NA;NA;NA;NA;NA;NA;NA;NA;NA;50-59;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50-59;NA;NA;NA;NA;NA;NA;75+;NA;75+;NA;60-74;NA;60-74;NA;50-59;NA;60-74;NA;60-74;Graduated_0
11085348;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50-59;NA;NA;NA;NA;NA;NA;NA;NA;75+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30-49;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30-49;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;60-74;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30-49;30-49;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50-59;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;60-74;50-59;75+;NA;NA;NA;30-49;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30-49;0-29;50-59;30-49;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Discontinued
11085462;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50-59;NA;NA;NA;NA;NA;75+;75+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;60-74;75+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50-59;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;60-74;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;60-74;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30-49;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;75+;75+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;75+;NA;NA;50-59;NA;60-74;NA;50-59;NA;NA;NA;NA;NA;NA;NA;NA;Discontinued
11085569;NA;60-74;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30-49;NA;NA;NA;NA;NA;NA;NA;NA;30-49;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50-59;NA;NA;NA;30-49;NA;NA;NA;NA;NA;NA;NA;60-74;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30-49;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Discontinued
11085887;NA;NA;NA;NA;NA;NA;NA;NA;60-74;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;60-74;NA;NA;NA;NA;NA;NA;60-74;NA;NA;NA;NA;NA;NA;NA;NA;75+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;60-74;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;75+;NA;NA;NA;75+;75+;NA;60-74;60-74;NA;NA;75+;NA;NA;NA;NA;NA;60-74;75+;NA;75+;75+;60-74;NA;60-74;75+;NA;75+;60-74;NA;75+;NA;75+;60-74;60-74;NA;NA;NA;NA;NA;NA;NA;60-74;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;75+;75+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;60-74;NA;75+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50-59;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;60-74;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;60-74;75+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;60-74;NA;NA;NA;NA;NA;NA;75+;NA;75+;NA;60-74;NA;50-59;NA;60-74;NA;50-59;NA;60-74;Graduated_0
11086107;50-59;NA;NA;50-59;NA;NA;0;50-59;30-49;50-59;30-49;50-59;0;50-59;50-59;50-59;0;30-49;50-59;60-74;60-74;50-59;50-59;NA;50-59;60-74;50-59;NA;NA;50-59;NA;30-49;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30-49;NA;50-59;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50-59;NA;NA;NA;NA;NA;50-59;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;60-74;75+;NA;50-59;50-59;50-59;50-59;50-59;50-59;NA;50-59;NA;50-59;50-59;30-49;NA;NA;NA;NA;NA;60-74;NA;60-74;NA;NA;NA;NA;NA;50-59;30-49;NA;NA;NA;NA;50-59;30-49;NA;NA;NA;NA;50-59;30-49;NA;NA;NA;NA;NA;NA;50-59;30-49;NA;NA;NA;NA;75+;NA;NA;NA;NA;NA;NA;30-49;75+;30-49;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50-59;NA;0;NA;NA;NA;NA;NA;NA;50-59;NA;50-59;50-59;0;0-29;0;50-59;30-49;50-59;30-49;NA;50-59;Active (BEng)
11086191;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30-49;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30-49;30-49;NA;30-49;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50-59;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;50-59;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50-59;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;50-59;50-59;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;Discontinued
11086701;NA;NA;NA;NA;NA;NA;NA;NA;60-74;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50-59;NA;NA;NA;NA;NA;NA;NA;NA;50-59;NA;NA;NA;NA;NA;75+;75+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50-59;NA;NA;NA;NA;NA;NA;NA;60-74;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50-59;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50-59;75+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;60-74;NA;60-74;50-59;75+;NA;75+;50-59;75+;NA;NA;60-74;60-74;50-59;60-74;50-59;NA;50-59;NA;NA;60-74;0;NA;50-59;50-59;NA;60-74;60-74;NA;50-59;NA;75+;60-74;NA;NA;50-59;NA;NA;NA;NA;NA;NA;NA;NA;NA;50-59;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;60-74;60-74;NA;NA;NA;NA;NA;NA;NA;NA;50-59;NA;NA;30-49;NA;NA;NA;NA;NA;NA;60-74;NA;60-74;NA;50-59;NA;60-74;NA;60-74;NA;50-59;NA;60-74;Discontinued
11086743;NA;NA;NA;NA;NA;NA;NA;NA;50-59;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50-59;NA;30-49;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;60-74;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;60-74;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50-59;75+;NA;50-59;60-74;50-59;60-74;60-74;60-74;NA;50-59;NA;50-59;60-74;50-59;NA;NA;NA;NA;NA;60-74;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50-59;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50-59;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50-59;60-74;50-59;60-74;50-59;60-74;50-59;60-74;NA;50-59;NA;50-59;50-59;NA;50-59;50-59;50-59;30-49;50-59;60-74;NA;50-59;NA;60-74;50-59;50-59;50-59;NA;NA;60-74;NA;NA;50-59;NA;NA;50-59;50-59;NA;NA;NA;50-59;NA;50-59;NA;NA;NA;NA;50-59;NA;50-59;NA;50-59;NA;60-74;60-74;30-49;NA;50-59;NA;50-59;Graduated_1
